Month,Day,Seconds of the Day,Log (Duration in seconds),Duration Flag (0 or 1),Average Time(sec),Second Moment (sec),Third Moment (sec),log (Total Energy),log (Early Energy/Late Energy),Total High Energy,Early High Energy,Late High Energy,log (Peak Energy Rate),Peak Energy Rate Time (sec),log (Peak Count Rate at Peak),Time of Peak Count Rate (sec),Number of Peaks in Signal,Signal Run Length,Signal Fractal Dimension,Slope of the Signal Cepstrum,Wavelet Transform (res 5) - 0 Crossings,Wavelet Transform (res 6) - 0 Crossings,Wavelet Transform (res 7) - 0 Crossings,Wavelet Transform (res 8) - 0 Crossings,Fractal Dimension of Smoothed Signal,Number of -3db Peaks (Smoothed Signal),Separation of Two Largest Peaks,Ratio of Two Largest Peaks
1,22,16903.3,1.4,1,15.87,58.08,11.7,-3.48,0.15,0.9,0.86,0.93,-4.57,25.21,2.86,25.16,27,2822.33,2.35,-17467.2,38,19,11,4,1.45,4,7.64,1.34
3,1,9389.5,1.28,1,10.86,23.97,47.7,-3.69,0.11,1.65,2.67,1.03,-4.5,5.33,2.75,5.19,6,516.85,1.8,-17182,35,17,11,6,1.53,10,0.66,1.28
3,28,36158.8,1.3,0,8.36,25.88,132.3,-3.95,0.23,0.79,0.71,0.93,-4.7,4.02,2.84,4.07,11,597.99,1.84,-17848.6,43,18,6,4,1.8,11,0.76,1.3
4,6,34072.7,0.6,0,3.33,0.65,0.1,-4.04,0.16,3.29,3.67,3.01,-3.98,3.07,3.05,3.03,4,631.03,1.05,-18419.7,10,4,4,2,1.02,21,0.16,1.36
5,19,40460.2,-0.82,0,3.09,0.11,0.1,-4.36,0.08,4.07,1.88,2.38,-3.52,2.85,3.37,2.84,2,606.32,0.95,10514.7,16,7,6,3,1.81,15,5.44,1.38
7,22,18619.6,1.23,0,8.76,18.86,31.6,-3.84,0.19,0.76,0.63,0.94,-4.73,7.96,2.72,8.85,3,256.02,1.74,-17311.5,38,19,12,3,2.18,37,2.39,1.32
8,27,71917.7,0.98,0,7.57,6.65,4.4,-3.52,0.16,1.95,2.15,1.76,-4.15,8.09,3.14,8.12,16,2278.41,1.53,-15308.5,33,18,7,5,1.7,8,7.16,1.21
10,12,55373.5,1.27,1,8.8,26.44,128.3,-3.76,0.11,3.16,3.49,2.75,-4.45,3.46,2.74,3.41,2,319.51,2.07,-17252.2,44,22,10,2,1.68,11,1.07,1.14
10,27,3148.7,0.99,1,8.3,8.47,-23.8,-3.97,0.2,2.58,8.06,2.38,-4.39,9.64,2.73,7.72,4,171.16,2.09,-30652.1,35,19,5,3,1.15,8,0.33,1.24
1,17,21023.6,1.24,1,7.41,16.78,31,-3.93,0.14,1.59,1.9,1.33,-4.49,2.89,2.82,3.79,8,682.97,1.92,-30428.8,28,19,5,6,1.66,12,1.23,1.4
3,13,80647.1,1.14,0,6.54,10.03,13.2,-3.94,0.16,2.38,2.63,2.13,-4.56,3.83,2.55,9.5,10,513.42,1.85,-17343.5,35,20,11,4,1.51,8,3.17,1.01
3,31,2034.6,1.21,0,8.83,18.86,-3.1,-3.94,0.17,2.35,2.67,2.11,-4.77,5.33,2.53,12.04,12,693.47,1.78,-28457.9,35,15,7,3,1.61,9,0.08,1.34
5,22,82132.5,1.29,0,5.71,32.15,363,-4.35,0.14,2.08,3.52,0.35,-3.75,2.98,3.48,2.91,4,975.25,1.05,-14551.2,42,14,9,5,0.4,11,0.01,1.4
6,10,59718.6,1.07,0,6.57,6.27,2.7,-3.83,0.14,2.29,2.82,1.86,-4.36,6.08,2.82,5.57,9,683.39,1.95,-41462.7,27,13,4,3,2.12,13,5.2,1.25
11,16,24381.4,1.4,1,16.98,69.59,52.6,-3.98,0.19,2,1.58,2.23,-4.72,21.46,2.55,21.41,7,345.46,2.26,-17099,34,21,9,7,2.07,6,0.18,1.34
11,30,74319.3,1.37,1,10.83,46.83,182.8,-3.89,0.13,1.61,1.68,1.52,-4.83,2.33,2.56,2.57,6,443.25,2.25,-16851.5,41,21,5,5,1.66,20,1.16,1.21
1,10,86128.9,1.4,0,7.32,38.77,409.8,-3.91,0.13,3.26,3.42,2.94,-4.42,3.46,2.7,2.85,2,170.67,1.84,-17746.7,39,23,4,5,1.77,29,2.24,1.4
3,4,8511.8,1.37,1,13.95,43.89,11.7,-3.08,0.14,2.92,3.25,2.63,-4.14,10.21,2.95,10.16,26,2501.02,2.24,-17469.4,35,19,9,3,1.71,19,16.24,1.38
8,5,85171.1,1.24,1,10.84,26.98,29.5,-3.14,0.13,2.64,2.65,2.63,-4.11,10.92,2.98,5.08,12,1025.69,1.6,-16717.2,30,15,7,7,1.84,25,0.11,1.08
8,20,6755,1.13,0,9.76,10.93,5.3,-3.54,0.11,2.34,2.67,2.02,-4.18,8.7,3.02,8.84,3,508.54,1.58,-36934.4,27,15,6,2,1.56,5,-0.07,1.36
8,23,45062.7,0.99,0,8.39,4.39,-4.4,-2.95,0.18,2.89,3.36,2.64,-3.37,9.12,3.68,9.99,1,0,0.67,2337.25,38,15,5,3,1.98,18,20.45,1.39
9,17,67521.1,0.95,0,5.89,3.86,2.5,-3.85,0.17,1.86,2.41,1.42,-4.34,5.52,2.9,5.47,22,2413.52,1.96,-42058.3,32,15,10,3,1.67,11,15.65,1.19
9,21,39889.6,1.16,0,7.4,8.7,22.9,-3.38,0.12,3.7,4.12,3.27,-3.99,5.52,2.95,7.24,2,413.74,1.3,-16304.7,45,24,9,6,1.62,6,0.39,1.38
11,14,14473.9,0.89,0,5.38,5.26,-2,-3.97,0.17,2.96,2.84,3.07,-4.55,8.71,2.74,8.29,8,431.1,1.77,-38740.3,25,14,5,3,1.69,10,1.23,1.36
12,15,30057.5,0.39,0,3.2,0.13,0.1,-3.46,0.05,3.09,3.41,1.63,-2.63,2.94,4.17,2.93,4,0.12,0.48,-808.11,49,14,10,4,1.17,19,0.92,1.41
2,27,3981,0.99,0,6.63,6.63,3.8,-3.9,0.12,2.38,3.04,1.75,-4.34,5.52,2.78,5.57,7,597.97,1.87,-3881.25,31,17,9,1,1.83,10,0.41,1.34
3,18,35700.5,0.83,0,5.53,3.49,0.6,-3.45,0.14,3.81,4.17,3.47,-3.79,3.07,3.19,5.46,11,2666.09,0.92,2510.13,32,16,7,1,2.02,9,0.73,1.4
6,10,83266.3,1.25,0,6.93,15.51,60.7,-3.9,0.15,2.55,2.09,3.68,-4.6,6.27,2.63,6.32,17,686.09,1.89,-37655.7,32,11,6,4,1.83,20,6.73,1.36
6,24,57155.7,1.34,1,14.04,39.49,48,-2.7,0.13,3.86,4,3.71,-3.69,9.91,3.25,11.4,5,1979.77,1.02,-12427.9,43,17,9,5,1.68,12,-9.59,1.36
8,5,2924.3,1.3,0,6.8,15.79,122.3,-3.43,0.09,2.85,3.6,2.07,-3.84,4.16,3.13,4.04,7,1577.65,1.26,-13834.8,40,16,9,6,2.05,30,0.26,1.38
9,1,8586.8,1.4,1,16.08,62.28,-88.4,-3.32,0.12,3.42,3.63,3.21,-4.31,21.64,2.75,12.97,23,2050.24,1.93,-16786,38,21,8,7,1.55,17,0.74,1.12
9,27,42919.3,1.31,0,12.9,27.24,2,-3.29,0.14,2.76,3.18,2.41,-4.26,9.83,2.83,9.69,32,2818.11,2.24,-17363.9,35,27,9,5,1.45,4,7.64,1.34
3,11,63138.7,1.32,1,11.9,35.58,84.1,-3.08,0.12,2.79,2.87,2.7,-4.02,6.17,3.13,4.15,1,0,1.17,-12199.4,43,18,6,6,1.53,10,0.66,1.28
5,17,9082.3,1.14,0,10.09,19.32,-18.1,-3.55,0.15,3.04,2.98,3.09,-4.09,15.97,3.12,15.94,3,182.32,1.12,-25188,31,21,7,3,1.8,11,0.76,1.3
5,22,20015.7,0.97,0,5.26,5.89,12.9,-3.79,0.11,3.33,3.58,2.98,-4.29,4.21,2.84,3.04,7,623.32,1.87,-29660.2,21,15,5,2,1.02,21,0.16,1.36
10,2,66246.4,0.85,0,4.28,0.95,1.7,-3.68,0.14,2.08,2.86,1.41,-3.89,3.69,3.23,3.52,5,1484.22,1.21,-11469,37,19,12,5,1.81,15,5.44,1.38
6,8,16660.8,0.3,0,4.04,0.2,0,-3.51,0.13,2.17,2.37,1.96,-3.48,3.94,3.74,3.89,5,2925.76,0.55,4178.77,10,8,3,1,2.18,37,2.39,1.32
6,9,84951.1,0.97,1,6.35,6.51,-1.8,-3.71,0.14,3.62,3.38,3.88,-4.47,4.96,2.64,7.35,10,601.91,0.88,-22357.7,13,4,1,1,1.7,8,7.16,1.21
7,19,14578.8,1.35,1,12.98,40.04,91.5,-3.36,0.15,1.05,1.09,0.99,-4.37,12.26,2.94,6.03,2,174.99,1.68,-16393.6,37,14,9,5,1.68,11,1.07,1.14
8,10,28437.3,0.99,0,5.5,4.99,17.3,-3.39,0.06,2.56,3.52,1.55,-3.75,4.02,3.38,4.36,16,3239.06,1.03,-20486.7,31,12,5,2,1.15,8,0.33,1.24
11,9,36628,1.41,1,11.98,50.2,83.1,-3.87,0.2,0.91,0.77,1.09,-4.82,1.58,2.55,1.54,32,1207.32,1.76,-16687,29,16,14,4,0.82,1,0.49,1
1,11,46137.4,1.34,1,11.79,38.39,35.9,-3.94,0.14,1.15,1.22,1.07,-4.3,2.89,2.75,2.85,6,265.35,1.88,-31042.1,34,16,7,6,1.55,11,-0.09,1.27
1,28,40559.5,1.12,0,10.24,11.04,-7.1,-3.39,0.17,3.42,3.42,3.41,-3.97,15.2,3.07,7.51,3,1100.31,1.12,-16074.5,42,17,11,4,1.75,22,0.33,1.41
2,5,37158.7,1.35,1,11.71,30.47,50.4,-3.31,0.12,4.07,4.97,3.33,-4.32,8.33,2.7,15.88,24,1033.02,1.84,-17163,43,17,9,3,2,2,0.07,1.36
